большой	large	большие города|large towns	deck#5	due@2020-12-11 10:12:04
новый	new	С Новым годом!|Happy New Year	deck#5	due@2020-12-10 22:37:58
становиться/стать (+inst)	to become; to stand; p: begin	Он стал говорить; Она стала инженером|He began to speak; She became an engineer	deck#3	due@2020-09-19 10:12:11
работа	work	Он говорит о своей работе|He is speaking about his work	deck#5	due@2020-12-11 10:12:12
сейчас	now, right now	Он сейчас в Москве|He’s in Moscow at the moment	deck#6	due@2021-09-07 10:12:13
время (n)	time	в то время; во время войны; много времени|at that time; during the war; a lot of time	deck#5	due@2020-12-11 08:47:23
человек (pl люди)	person	Она хороший человек|She is a good person	deck#5	due@2020-12-11 10:12:15
идти/пойти	to go (on foot)	Я иду по улице; Куда ты идёшь?|I am walking along the street; Where are you going?; Я пошёл домой|I went home	deck#5	due@2020-12-11 08:45:34
если	if	Если она хочет, я тоже хочу|If she wants (to), I want (to) too	deck#5	due@2020-12-11 10:12:16
два (f две)	two	два часа; две машины|two o’clock; two cars	deck#5	due@2020-12-11 10:12:17
мой	my	Вот мой дом|There is my house	deck#5	due@2020-12-11 10:12:17
жизнь (f)	life	Наша жизнь хорошая|Our life is good	deck#5	due@2020-12-11 10:12:18
до (+g)	up to; until	До свидания!|Until we meet again=Goodbye	deck#5	due@2020-12-11 10:19:41
где	where	Он знает, где мой дом|He knows where my house is	deck#6	due@2021-09-07 10:19:42
каждый	each, every	каждый день|each (every) day	deck#6	due@2021-09-07 10:19:43
самый	the very, most	самый большой дом|the biggest house	deck#4	due@2020-10-12 10:19:47
хотеть/за-	to want	Я хочу говорить по-русски; ты хочешь; Что вы хотите?|I want to speak Russian; you want; What do you want?	deck#5	due@2020-12-11 10:19:49
здесь	here	Я здесь уже два года|I have been here for two years	deck#6	due@2021-09-07 10:19:50
надо	it is necessary	Надо говорить по-русски|One must speak Russian	deck#5	due@2020-12-11 10:19:52
люди (pl)	people	Русские - хорошие люди|Russians are good people	deck#5	due@2020-12-11 10:19:54
теперь	now	Теперь надо идти|Now it is necessary to go (Now we must leave)	deck#5	due@2020-12-11 10:19:55
дом	house	из дома; дома|from the house; houses	deck#5	due@2020-12-11 10:19:56
раз	once; a time	один раз; два раза; шесть раз|once; twice; six times	deck#5	due@2020-12-11 10:19:57
день (m)	day	только один день; два дня|only one day; two days	deck#5	due@2020-12-11 10:19:58
или	or	Быть или не быть|To be or not to be	deck#6	due@2021-09-07 10:19:59
город	town, city	Они работают в этом городе|They work in this town	deck#5	due@2020-12-11 08:50:10
там	there	Жизнь там хорошая.|Life is good there	deck#6	due@2021-09-07 10:20:01
слово	word	Я скажу одно слово|I shall say one word	deck#5	due@2020-12-11 10:20:02
глаз	eye	два глаза; большие глаза|two eyes; large eyes	deck#5	due@2020-12-11 10:20:07
потом	then, next	Он был в моём доме, потом он пошёл на работу|He was in my house, then he went to work	deck#2	due@2020-09-12 22:31:13
видеть/у- (+a)	to see	Я вижу дом; Ты видишь её?|I see the house; Can you see her?	deck#5	due@2020-12-11 10:20:14
их	their	в их доме|in their house	deck#5	due@2020-12-11 10:20:15
