SIMPLIFIED	TRADITIONAL	PINYIN	TRANSLATION
啊	啊	ā, á, ǎ, à, a	ah; (particle showing elation, doubt, puzzled surprise, or approval)	deck#6	due@2025-06-23 21:42:32
还	還	hái, huán	still; yet; in addition; even | repay; to return	deck#4	due@2024-07-28 21:52:11
把	把	bǎ, bà	(mw for things with handles); (pretransitive particle); to hold | a grip; a handle; stem (of plants)	deck#5	due@2024-09-26 21:31:22
过	過	guò	to pass; to cross; go over; (indicates a past experience)	deck#6	due@2025-06-23 21:35:53
如果	如果	rúguǒ	if; in the event that	deck#5	due@2024-09-26 21:58:08
只	隻	zhǐ, zhī	only; merely; just; but | (mw for birds and certain animals)	deck#6	due@2025-06-23 21:49:27
被	被	bèi	by (indicates passive voice sentences); a quilt/blanket	deck#5	due@2024-09-26 21:25:48
跟	跟	gēn	to follow; go with; heel	deck#6	due@2025-06-23 21:19:10
自己	自己	zìjǐ	oneself; self	deck#5	due@2024-09-26 21:20:47
用	用	yòng	to use (Kangxi radical 101)	deck#6	due@2025-06-23 21:49:20
像	像	xiàng	be like; resemble; appearance; appear	deck#5	due@2024-09-26 21:26:58
为	為	wéi, wèi	to act (as); become; to mean | for; because of; to; for the sake of	deck#5	due@2024-09-26 21:55:57
需要	需要	xūyào	to need; to want; to demand	deck#4	due@2024-07-28 21:40:16
应该	應該	yīnggāi	should; ought to; must	deck#6	due@2025-06-23 21:17:11
起来	起來	qǐ lai	(beginning or continuing an action); to rise; get up (from bed)	deck#6	due@2025-06-23 21:54:10
才	才	cái	ability; talent; just now; not until	deck#5	due@2024-09-26 21:31:10
又	又	yòu	(once) again; also; both (Kangxi radical 29)	deck#6	due@2025-06-23 21:18:50
拿	拿	ná	carry in your hand; seize; to catch	deck#5	due@2024-09-26 21:25:35
更	更	gèng, gēng	more; even more | change; watch (e.g. of a sentry or guard)	deck#5	due@2024-09-26 21:44:47
带	帶	dài	band; belt; ribbon; carry; bring; take along; bring up (kids)	deck#5	due@2024-09-26 21:58:54
然后	然后	ránhòu	then; afterwards	deck#5	due@2024-09-26 21:26:23
一样	一樣	yíyàng	the same; alike; equal to	deck#4	due@2024-07-28 21:24:47
当然	當然	dāngrán	of course; naturally	deck#6	due@2025-06-23 21:37:26
相信	相信	xiāngxìn	believe (sb.); be convinced of	deck#3	due@2024-07-05 21:50:23
认为	認為	rènwéi	believe; think that	deck#3	due@2024-07-05 21:30:27
明白	明白	míngbai	clear; obvious; understand; explicit	deck#5	due@2024-09-26 21:37:49
一直	一直	yìzhí	always; all along; straight (in a straight line)	deck#4	due@2024-07-28 21:42:19
地	地	dì, de	earth; ground | (adverbial particle)	deck#6	due@2025-06-23 21:51:13
地方	地方	dìfang	place; space; room; part, (fāng: local; regional)	deck#5	due@2024-09-26 21:23:52
离开	離開	líkāi	leave; depart	deck#6	due@2025-06-23 21:58:17
一定	一定	yídìng	surely; certainly; necessarily; definite	deck#5	due@2024-09-26 21:25:21
还是	還是	háishi	or; still; nevertheless; had better	deck#6	due@2025-06-23 21:19:59
发	發	fā, fà	send out; to issue; to show (one's feelings) | hair	deck#4	due@2024-07-28 21:35:28
